id;antecedencia_da_reserva;mes_chegada;dia_chegada;noites_da_estadia;noites_fim_de_semana;hotel_de_praia;regime;adultos;criancas;bebes;ja_cliente;cancelamentos_anteriores;reservas_anteriores_nao_canceladas;alteracoes_da_reserva;total_de_pedidos;tipo_deposito;cancelada
1;26;November;25;7;2;yes;HB - Half Board;3;0;0;no;0;0;0;2;No Deposit;no
2;31;June;1;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
5;4;March;17;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
8;6;December;1;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;2;No Deposit;no
12;65;March;12;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
14;12;August;31;2;2;yes;BB - Bed & Breakfast;2;0;1;no;0;0;1;4;No Deposit;no
15;69;October;17;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
19;181;May;28;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
22;191;April;8;2;1;no;BB - Bed & Breakfast;2;0;0;no;11;25;0;0;No Deposit;yes
24;180;July;24;6;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
25;3;April;15;1;0;no;SC - Self Catering;1;0;0;no;0;0;1;1;No Deposit;no
28;11;June;13;10;4;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit;yes
29;11;March;4;4;2;no;BB - Bed & Breakfast;1;0;0;yes;2;24;0;1;No Deposit;no
30;14;September;4;6;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
33;41;August;16;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
34;58;May;24;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
41;331;June;1;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
45;177;April;10;2;1;no;HB - Half Board;2;0;0;no;1;0;0;0;Non Refund;yes
48;25;June;3;1;0;no;BB - Bed & Breakfast;2;1;0;no;0;0;1;0;No Deposit;no
55;193;May;13;3;0;no;HB - Half Board;2;0;0;no;1;0;0;0;Non Refund;yes
60;2;August;2;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
61;61;February;11;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
62;38;March;25;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
69;333;September;13;2;1;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund;yes
84;36;May;25;1;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
89;5;November;17;4;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
92;19;July;27;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;yes
97;10;June;26;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
102;4;October;5;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
104;190;October;29;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
105;92;May;10;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
106;28;April;26;1;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;1;No Deposit;no
118;197;October;26;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
119;57;May;8;1;0;no;BB - Bed & Breakfast;2;1;0;no;0;0;0;0;No Deposit;yes
121;71;April;15;4;2;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit;no
123;51;March;30;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
126;2;April;19;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
128;31;October;17;3;1;no;BB - Bed & Breakfast;2;2;0;no;1;0;0;0;No Deposit;yes
131;71;February;21;4;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
141;238;June;1;14;4;yes;HB - Half Board;2;0;0;no;0;0;0;1;No Deposit;yes
160;132;October;8;3;2;yes;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;yes
