id;antecedencia_da_reserva;mes_chegada;dia_chegada;noites_da_estadia;noites_fim_de_semana;hotel_de_praia;regime;adultos;criancas;bebes;ja_cliente;cancelamentos_anteriores;reservas_anteriores_nao_canceladas;alteracoes_da_reserva;total_de_pedidos;tipo_deposito
78557;60;May;22;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78559;2;May;13;1;0;no;SC - Self Catering;1;0;0;no;0;0;0;0;No Deposit
78565;64;August;30;4;1;no;SC - Self Catering;2;0;0;no;0;0;1;1;No Deposit
78571;7;March;3;2;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78583;144;August;19;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78592;38;August;10;6;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78599;384;October;7;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78600;5;February;21;4;2;no;BB - Bed & Breakfast;1;2;0;no;0;0;1;1;No Deposit
78603;134;October;23;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78608;463;July;1;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78616;1;March;28;3;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78628;2;August;7;2;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78632;11;May;5;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;3;No Deposit
78639;76;January;7;3;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;2;No Deposit
78640;179;October;21;4;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78649;124;November;5;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78650;387;October;19;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78654;205;October;10;4;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78659;76;March;23;3;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78660;4;March;26;3;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;1;No Deposit
78661;1;March;14;0;0;no;BB - Bed & Breakfast;2;0;0;yes;0;0;0;0;No Deposit
78669;13;February;26;1;1;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
78673;25;December;2;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78674;365;October;15;2;0;no;HB - Half Board;2;0;0;no;1;0;0;0;Non Refund
78675;1;September;28;4;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;3;0;No Deposit
78686;2;September;15;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78696;8;August;16;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78701;3;December;6;9;3;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78721;101;August;19;2;0;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
78723;31;February;25;5;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78730;1;March;17;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit
78731;3;August;12;2;0;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;2;No Deposit
78736;92;April;19;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78737;62;August;27;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78738;95;May;22;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78743;98;April;17;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78746;125;May;26;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78749;164;August;22;10;4;no;HB - Half Board;2;0;0;no;0;0;0;1;No Deposit
78752;27;July;3;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78755;179;September;11;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78756;230;September;1;10;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
